Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count
Blue Dragon Coconut Milk,£ 1.0,£ 0.25 per 100ml,https://www.ocado.com/productImages/838/83854011_0_640x640.jpg,images/Blue Dragon Coconut Milk.jpg,Food Cupboard,Food Cupboard>Tins & Cans>Coconut Milk & Cream>Coconut Milk,Yes,https://www.ocado.com/products/83854011,17
Pringles Paprika,£ 2.5,£ 1.25 per 100g,https://www.ocado.com/productImages/647/64749011_0_640x640.jpg,images/Pringles Paprika.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/64749011,16
Nestle Shreddies,£ 3.0,£ 0.3 per 100g,https://www.ocado.com/productImages/604/60452011_0_640x640.jpg,images/Nestle Shreddies.jpg,Food Cupboard,Food Cupboard>Breakfast Cereals>Family Cereal>Children's Cereal>Plain,Yes,https://www.ocado.com/products/60452011,10
M&S Hickory BBQ Flavour Nut Mix,£ 2.5,£ 0.835 per 100g,https://www.ocado.com/productImages/530/530601011_0_640x640.jpg,images/M&S Hickory BBQ Flavour Nut Mix.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Nuts & Seeds>Nuts>Peanuts>Roasted",Yes,https://www.ocado.com/products/530601011,1
Bisto Reduced Salt Gravy Granules,£ 1.5,£ 0.882 per 100g,https://www.ocado.com/productImages/247/24720011_0_640x640.jpg,images/Bisto Reduced Salt Gravy Granules.jpg,Food Cupboard,Food Cupboard>Cooking Ingredients>Stocks & Gravies>Gravy>Granules & Powder,Yes,https://www.ocado.com/products/24720011,13
Doritos Tangy Cheese Tortilla Chips,£ 2.0,£ 1.11 per 100g,https://www.ocado.com/productImages/444/44466011_0_640x640.jpg,images/Doritos Tangy Cheese Tortilla Chips.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Tortilla Chips",Yes,https://www.ocado.com/products/44466011,14
Pipers Lye Cross Cheddar & Onion Crisps,£ 1.5,£ 1.0 per 100g,https://www.ocado.com/productImages/467/467832011_0_640x640.jpg,images/Pipers Lye Cross Cheddar & Onion Crisps.jpg,Food Cupboard,"Occasions & Entertaining>Entertain By Ocado>Shop By Category>Nibbles, Dips & Sides",Yes,https://www.ocado.com/products/467832011,85
Heinz Baked Beanz,£ 0.65,£ 0.325 per 100g,https://www.ocado.com/productImages/122/12278011_0_640x640.jpg,images/Heinz Baked Beanz.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Vegetarian & Vegan>Vegan>Food Cupboard",Yes,https://www.ocado.com/products/12278011,1
Cadbury Dairy Milk Fruit & Nut,£ 1.5,£ 1.36 per 100g,https://www.ocado.com/productImages/290/290971011_0_640x640.jpg,images/Cadbury Dairy Milk Fruit & Nut.jpg,Food Cupboard,Food Cupboard>Chocolate & Sweets>Chocolate>Everyday Bars>Milk Chocolate,Yes,https://www.ocado.com/products/290971011,10
Cadbury Crunchie Multipack,£ 1.0,£ 0.78 per 100g,https://www.ocado.com/productImages/243/243941011_0_640x640.jpg,images/Cadbury Crunchie Multipack.jpg,Food Cupboard,Food Cupboard>Chocolate & Sweets>Chocolate>Multipacks,Yes,https://www.ocado.com/products/243941011,21
